date,category,sales,avg_temp,max_temp,min_temp,humidity,rainfall
2016-04-30,beer,45666.19,24.16,28.71,19.7,70.42,18.28
2016-05-01,beer,46910.52,26.47,31.06,22.2,75.06,0.0
2016-05-02,beer,39148.52,23.5,28.62,20.24,81.52,10.74
2016-05-03,beer,49991.36,24.89,29.26,20.56,84.79,0.0
2016-05-04,beer,46552.41,21.97,26.84,17.96,73.01,0.0
2016-05-05,beer,40231.17,23.56,29.23,20.23,78.87,0.0
2016-05-06,beer,37148.2,20.2,25.25,15.48,85.39,10.27
2016-05-07,beer,36996.56,25.07,28.74,20.31,80.19,0.0
2016-05-08,beer,39673.1,20.28,25.57,16.16,78.53,1.76
2016-05-09,beer,45707.28,18.78,24.12,14.91,70.36,0.0
2016-05-10,beer,47864.3,21.13,25.69,16.05,74.12,0.0
2016-05-11,beer,52657.04,22.68,28.09,18.4,74.71,0.0
2016-05-12,beer,41395.57,19.49,23.89,14.23,80.22,0.0
2016-05-13,beer,38502.9,22.59,28.05,18.26,72.03,0.0
2016-05-14,beer,37200.41,22.1,26.78,18.45,62.28,0.0
2017-03-01,beer,43785.4,9.63,14.06,5.27,71.09,12.15
2017-03-02,beer,47848.41,9.76,14.57,5.5,80.41,0.0
2017-03-03,beer,37602.35,9.74,14.88,5.69,79.58,0.0
2017-03-04,beer,40204.81,14.11,18.85,10.68,79.7,16.35
2017-03-05,beer,39183.76,13.86,18.2,10.15,72.98,0.0
2017-03-06,beer,37881.26,13.59,17.69,9.6,80.96,0.0
2017-03-07,beer,49515.44,14.04,18.31,11.18,75.51,0.0
2017-03-08,beer,46894.89,16.5,20.71,12.4,81.73,0.0
2017-03-09,beer,45537.04,13.31,19.76,8.42,73.9,0.0
2017-03-10,beer,42625.13,15.67,21.41,11.64,71.64,4.87
2017-03-11,beer,38845.29,13.89,18.94,10.07,78.33,9.3
2017-03-12,beer,39044.46,16.01,19.84,12.53,65.24,21.52
2017-03-13,beer,36331.44,16.89,22.46,12.34,61.96,0.0
2017-03-14,beer,47194.16,15.96,21.1,11.92,63.08,0.0
2017-03-15,beer,47564.16,19.67,24.72,15.45,65.53,0.0
2017-03-16,beer,46612.5,17.24,22.19,11.91,56.44,0.0
2017-03-17,beer,44058.46,15.46,20.28,12.35,62.48,0.0
2017-03-18,beer,42931.34,14.71,21.29,9.65,58.89,9.02
2017-03-19,beer,37137.5,14.77,19.29,11.77,59.86,0.0
2017-03-20,beer,40602.65,11.67,16.14,7.66,60.53,0.0
2017-03-21,beer,41510.15,14.47,19.9,10.98,56.73,0.0
2017-03-22,beer,48948.37,14.81,20.6,11.03,52.06,12.64
2017-03-23,beer,45318.44,13.98,19.72,9.86,62.18,0.0
2017-03-24,beer,45742.28,14.82,19.79,11.55,52.94,0.0
2017-03-25,beer,43147.91,12.9,18.36,8.02,62.24,0.0
2017-03-26,beer,42332.87,11.78,16.7,8.45,64.38,0.0
2017-03-27,beer,43741.84,12.09,16.21,8.26,61.58,0.0
2017-03-28,beer,41730.56,11.08,15.87,7.35,71.26,10.09
2017-03-29,beer,46847.91,11.01,16.64,7.0,67.18,0.0
2017-03-30,beer,40699.63,12.11,17.68,9.5,75.03,0.0
2017-03-31,beer,42133.66,12.86,17.54,8.39,74.3,0.0
2017-04-01,beer,36298.79,12.84,18.19,8.73,81.36,0.0
2017-04-02,beer,31892.01,13.12,18.04,8.28,84.25,0.0
2017-04-03,beer,33156.5,13.03,18.59,8.21,83.74,0.0
2017-04-04,beer,46416.59,12.1,15.9,7.41,73.94,0.0
2017-04-05,beer,46879.6,11.74,17.51,8.5,76.7,0.0
2017-04-06,beer,51174.28,14.45,20.66,11.3,76.24,0.0
2017-04-07,beer,42003.32,12.92,18.06,9.54,86.91,10.9
2017-04-08,beer,38710.24,14.64,20.35,9.75,71.7,0.0
2017-04-09,beer,36526.09,14.92,19.22,10.83,77.23,0.0
2017-04-10,beer,39321.19,16.64,21.54,11.8,63.9,0.0
2017-04-11,beer,47843.71,15.44,18.92,12.0,74.52,9.99
2017-04-12,beer,46032.24,15.62,19.99,11.34,68.46,4.23
2017-04-13,beer,51481.98,17.37,22.69,14.25,67.69,12.4
2017-04-14,beer,38447.71,18.61,23.58,13.31,69.99,0.0
2017-04-15,beer,37209.02,19.12,24.99,15.53,54.44,0.0
2017-04-16,beer,41309.87,17.4,22.06,13.19,59.2,0.0
2017-04-17,beer,51438.25,21.61,26.82,17.11,58.2,0.0
2017-04-18,beer,44822.22,19.78,25.52,17.08,45.63,0.0
2017-04-19,beer,55073.61,21.14,25.82,17.42,55.85,0.0
2017-04-20,beer,53409.81,21.79,27.81,18.12,51.12,0.0
2017-04-21,beer,42526.58,23.31,27.29,17.38,63.92,0.0
2017-04-22,beer,43357.22,22.59,27.48,18.81,61.79,0.0
2017-04-23,beer,43091.17,23.47,29.67,19.04,59.6,3.94
2017-04-24,beer,41903.73,23.39,28.33,18.74,54.06,0.0
2017-04-25,beer,46006.89,23.52,28.37,19.04,59.39,0.0
2017-04-26,beer,52918.43,25.57,29.3,21.13,65.32,0.0
2017-04-27,beer,53073.59,24.74,30.59,22.06,70.6,0.0
2017-04-28,beer,43102.21,21.8,25.93,18.01,68.55,0.0
2017-04-29,beer,45872.2,23.16,27.51,20.84,68.62,7.73
2017-04-30,beer,40831.53,23.35,29.03,19.17,70.51,0.27
2017-05-01,beer,42453.72,26.51,29.83,24.52,75.62,0.0
2017-05-02,beer,49545.1,22.91,28.58,18.73,66.48,0.0
2017-05-03,beer,47159.27,22.61,27.86,17.19,77.49,0.0
2017-05-04,beer,49093.0,22.53,28.44,18.71,81.42,3.61
2017-05-05,beer,43882.32,21.86,26.37,17.25,88.61,0.0
2017-05-06,beer,43679.61,20.59,26.05,14.78,73.12,0.0
2017-05-07,beer,42143.89,21.11,25.49,17.22,80.5,0.0
2017-05-08,beer,43789.94,20.43,25.12,16.84,79.51,13.29
2017-05-09,beer,52557.41,19.78,23.62,15.81,75.03,1.11
2017-05-10,beer,45648.11,21.02,26.96,16.69,84.85,0.0
2017-05-11,beer,53022.97,21.93,28.67,18.45,71.83,0.0
2017-05-12,beer,43936.41,21.22,27.11,18.67,68.35,0.0
2017-05-13,beer,39132.71,19.62,24.89,16.66,64.2,0.0
2017-05-14,beer,42648.17,20.47,25.34,16.84,71.03,0.0
2016-03-01,dehumidifier,5052.88,11.56,16.04,7.37,80.69,0.0
2016-03-02,dehumidifier,5963.6,13.03,17.73,10.41,81.86,0.0
2016-03-03,dehumidifier,5522.9,11.4,16.08,6.76,82.67,0.0
2016-03-04,dehumidifier,3674.27,12.5,18.07,9.53,74.22,8.5
2016-03-05,dehumidifier,4299.95,15.06,19.51,10.74,74.16,0.0
2016-03-06,dehumidifier,3879.45,13.9,20.88,11.15,72.5,21.9
2016-03-07,dehumidifier,5177.16,15.87,19.83,11.18,75.11,1.1
2016-03-08,dehumidifier,5007.11,13.22,17.22,9.42,75.29,0.0
2016-03-09,dehumidifier,4806.01,14.41,19.28,10.18,68.75,0.0
2016-03-10,dehumidifier,4800.49,13.52,17.72,8.22,77.94,0.0
2016-03-11,dehumidifier,2967.35,17.69,22.17,13.41,68.46,0.0
2016-03-12,dehumidifier,2771.44,15.1,20.68,10.44,65.59,0.0
2016-03-13,dehumidifier,3596.23,15.41,21.85,10.44,58.02,0.0
2016-03-14,dehumidifier,3786.46,17.06,22.04,12.79,58.38,3.82
2016-03-15,dehumidifier,4226.23,16.93,20.94,13.06,62.8,0.0
2016-03-16,dehumidifier,3903.45,13.76,18.36,9.26,61.11,0.0
2016-03-17,dehumidifier,2969.43,16.63,21.99,13.28,54.15,0.0
2016-03-18,dehumidifier,2726.4,16.24,21.75,11.05,59.79,0.0
2016-03-19,dehumidifier,3058.7,13.53,18.76,9.91,53.52,0.0
2016-03-20,dehumidifier,2922.45,13.52,17.67,9.01,57.37,0.66
2016-03-21,dehumidifier,4944.46,14.37,18.78,12.26,68.81,5.85
2016-03-22,dehumidifier,3838.77,13.96,18.7,9.38,58.06,0.0
2016-03-23,dehumidifier,3592.68,16.28,22.37,12.86,55.32,0.0
2016-03-24,dehumidifier,3768.86,14.25,18.72,9.7,61.95,0.0
2016-03-25,dehumidifier,2884.41,10.92,14.38,8.09,64.79,0.0
2016-03-26,dehumidifier,2998.06,11.09,17.5,7.76,64.97,0.0
2016-03-27,dehumidifier,4517.6,11.4,16.24,7.36,75.45,0.0
2016-03-28,dehumidifier,4247.34,13.53,17.8,10.27,66.64,0.0
2016-03-29,dehumidifier,5738.28,10.65,17.0,6.16,81.24,0.0
2016-03-30,dehumidifier,4966.25,12.23,16.57,8.61,72.26,0.0
2016-03-31,dehumidifier,4411.34,12.66,17.38,9.43,71.79,29.4
2016-04-01,dehumidifier,3844.69,11.69,17.43,6.44,71.7,0.0
2016-04-02,dehumidifier,3960.32,12.58,18.26,8.93,77.06,0.92
2016-04-03,dehumidifier,5189.6,13.4,16.65,8.74,86.16,0.0
2016-04-04,dehumidifier,5779.42,13.59,19.79,9.72,80.62,9.96
2016-04-05,dehumidifier,5907.03,11.32,17.45,7.58,83.64,6.06
2016-04-06,dehumidifier,5742.75,13.55,19.33,8.77,82.91,0.0
2016-04-07,dehumidifier,5156.93,12.32,17.28,8.43,82.97,6.27
2016-04-08,dehumidifier,4965.74,13.75,18.05,9.32,81.61,0.0
2016-04-09,dehumidifier,4518.85,15.33,21.27,10.4,79.85,12.66
2016-04-10,dehumidifier,3316.72,14.72,19.38,9.8,62.47,0.0
2016-04-11,dehumidifier,4594.23,14.67,20.65,11.52,72.05,0.0
2016-04-12,dehumidifier,4875.35,15.68,21.31,11.04,63.81,0.0
2016-04-13,dehumidifier,4563.74,18.16,21.61,14.46,63.8,0.0
2016-04-14,dehumidifier,3540.41,20.64,25.53,15.95,63.17,0.0
2016-04-15,dehumidifier,3158.36,19.03,23.86,14.21,57.44,0.0
2016-04-16,dehumidifier,2443.0,19.81,24.18,15.29,57.09,0.0
2016-04-17,dehumidifier,3242.69,20.44,24.69,16.25,57.17,0.0
2016-04-18,dehumidifier,4017.5,20.94,26.1,16.14,60.25,0.0
2016-04-19,dehumidifier,4066.52,23.7,28.53,19.98,56.15,0.0
2016-04-20,dehumidifier,4105.91,23.92,28.69,19.13,58.9,0.0
2016-04-21,dehumidifier,3172.88,23.42,28.21,19.71,49.28,0.0
2016-04-22,dehumidifier,3438.51,23.43,29.08,19.16,56.5,0.0
2016-04-23,dehumidifier,3725.55,20.61,26.19,16.79,60.28,0.0
2016-04-24,dehumidifier,4001.24,26.1,29.63,21.54,63.87,0.0
2016-04-25,dehumidifier,3586.38,25.11,29.96,20.28,60.92,0.0
2016-04-26,dehumidifier,5132.75,23.96,27.8,21.51,65.7,15.35
2016-04-27,dehumidifier,4274.92,24.72,30.43,19.73,65.83,0.0
2016-04-28,dehumidifier,3844.05,23.67,28.8,20.19,63.51,0.0
2016-04-29,dehumidifier,3658.38,24.81,30.2,22.03,72.65,0.0
2016-04-30,dehumidifier,3750.77,24.16,28.71,19.7,70.42,18.28
2016-05-01,dehumidifier,4521.64,26.47,31.06,22.2,75.06,0.0
2016-05-02,dehumidifier,4747.73,23.5,28.62,20.24,81.52,10.74
2016-05-03,dehumidifier,6139.15,24.89,29.26,20.56,84.79,0.0
2016-05-04,dehumidifier,4748.82,21.97,26.84,17.96,73.01,0.0
2016-05-05,dehumidifier,5636.56,23.56,29.23,20.23,78.87,0.0
2016-05-06,dehumidifier,5401.94,20.2,25.25,15.48,85.39,10.27
2016-05-07,dehumidifier,4631.73,25.07,28.74,20.31,80.19,0.0
2016-05-08,dehumidifier,4644.67,20.28,25.57,16.16,78.53,1.76
2016-05-09,dehumidifier,5032.77,18.78,24.12,14.91,70.36,0.0
2016-05-10,dehumidifier,4425.6,21.13,25.69,16.05,74.12,0.0
2016-05-11,dehumidifier,4706.11,22.68,28.09,18.4,74.71,0.0
2016-05-12,dehumidifier,4913.48,19.49,23.89,14.23,80.22,0.0
2016-05-13,dehumidifier,3681.64,22.59,28.05,18.26,72.03,0.0
2016-05-14,dehumidifier,2337.8,22.1,26.78,18.45,62.28,0.0
2017-03-01,dehumidifier,5795.65,9.63,14.06,5.27,71.09,12.15
2017-03-02,dehumidifier,5269.9,9.76,14.57,5.5,80.41,0.0
2017-03-03,dehumidifier,5379.58,9.74,14.88,5.69,79.58,0.0
2017-03-04,dehumidifier,4647.4,14.11,18.85,10.68,79.7,16.35
2017-03-05,dehumidifier,4577.02,13.86,18.2,10.15,72.98,0.0
2017-03-06,dehumidifier,5557.6,13.59,17.69,9.6,80.96,0.0
2017-03-07,dehumidifier,5565.97,14.04,18.31,11.18,75.51,0.0
2017-03-08,dehumidifier,6504.46,16.5,20.71,12.4,81.73,0.0
2017-03-09,dehumidifier,5445.74,13.31,19.76,8.42,73.9,0.0
2017-03-10,dehumidifier,5090.23,15.67,21.41,11.64,71.64,4.87
2017-03-11,dehumidifier,4724.35,13.89,18.94,10.07,78.33,9.3
2017-03-12,dehumidifier,3688.77,16.01,19.84,12.53,65.24,21.52
2017-03-13,dehumidifier,3776.8,16.89,22.46,12.34,61.96,0.0
2017-03-14,dehumidifier,4703.0,15.96,21.1,11.92,63.08,0.0
2017-03-15,dehumidifier,5431.22,19.67,24.72,15.45,65.53,0.0
2017-03-16,dehumidifier,3870.63,17.24,22.19,11.91,56.44,0.0
2017-03-17,dehumidifier,4073.26,15.46,20.28,12.35,62.48,0.0
2017-03-18,dehumidifier,3760.42,14.71,21.29,9.65,58.89,9.02
2017-03-19,dehumidifier,3638.31,14.77,19.29,11.77,59.86,0.0
2017-03-20,dehumidifier,3081.99,11.67,16.14,7.66,60.53,0.0
2017-03-21,dehumidifier,3638.09,14.47,19.9,10.98,56.73,0.0
2017-03-22,dehumidifier,3556.97,14.81,20.6,11.03,52.06,12.64
2017-03-23,dehumidifier,4231.45,13.98,19.72,9.86,62.18,0.0
2017-03-24,dehumidifier,3526.15,14.82,19.79,11.55,52.94,0.0
2017-03-25,dehumidifier,3628.23,12.9,18.36,8.02,62.24,0.0
2017-03-26,dehumidifier,4229.44,11.78,16.7,8.45,64.38,0.0
2017-03-27,dehumidifier,3477.06,12.09,16.21,8.26,61.58,0.0
2017-03-28,dehumidifier,4977.63,11.08,15.87,7.35,71.26,10.09
2017-03-29,dehumidifier,5081.24,11.01,16.64,7.0,67.18,0.0
2017-03-30,dehumidifier,5008.58,12.11,17.68,9.5,75.03,0.0
2017-03-31,dehumidifier,5113.61,12.86,17.54,8.39,74.3,0.0
2017-04-01,dehumidifier,5138.14,12.84,18.19,8.73,81.36,0.0
2017-04-02,dehumidifier,5681.46,13.12,18.04,8.28,84.25,0.0
2017-04-03,dehumidifier,5369.89,13.03,18.59,8.21,83.74,0.0
2017-04-04,dehumidifier,5387.86,12.1,15.9,7.41,73.94,0.0
2017-04-05,dehumidifier,5554.38,11.74,17.51,8.5,76.7,0.0
2017-04-06,dehumidifier,5584.59,14.45,20.66,11.3,76.24,0.0
2017-04-07,dehumidifier,5734.12,12.92,18.06,9.54,86.91,10.9
2017-04-08,dehumidifier,4389.88,14.64,20.35,9.75,71.7,0.0
2017-04-09,dehumidifier,4597.26,14.92,19.22,10.83,77.23,0.0
2017-04-10,dehumidifier,3497.45,16.64,21.54,11.8,63.9,0.0
2017-04-11,dehumidifier,5025.51,15.44,18.92,12.0,74.52,9.99
2017-04-12,dehumidifier,4757.39,15.62,19.99,11.34,68.46,4.23
2017-04-13,dehumidifier,5226.62,17.37,22.69,14.25,67.69,12.4
2017-04-14,dehumidifier,4150.01,18.61,23.58,13.31,69.99,0.0
2017-04-15,dehumidifier,3306.68,19.12,24.99,15.53,54.44,0.0
2017-04-16,dehumidifier,4125.91,17.4,22.06,13.19,59.2,0.0
2017-04-17,dehumidifier,3697.4,21.61,26.82,17.11,58.2,0.0
2017-04-18,dehumidifier,3611.34,19.78,25.52,17.08,45.63,0.0
2017-04-19,dehumidifier,4511.94,21.14,25.82,17.42,55.85,0.0
2017-04-20,dehumidifier,3949.9,21.79,27.81,18.12,51.12,0.0
2017-04-21,dehumidifier,4404.47,23.31,27.29,17.38,63.92,0.0
2017-04-22,dehumidifier,4163.6,22.59,27.48,18.81,61.79,0.0
2017-04-23,dehumidifier,3641.89,23.47,29.67,19.04,59.6,3.94
2017-04-24,dehumidifier,4117.95,23.39,28.33,18.74,54.06,0.0
2017-04-25,dehumidifier,4037.11,23.52,28.37,19.04,59.39,0.0
2017-04-26,dehumidifier,5433.53,25.57,29.3,21.13,65.32,0.0
2017-04-27,dehumidifier,5092.07,24.74,30.59,22.06,70.6,0.0
2017-04-28,dehumidifier,4856.0,21.8,25.93,18.01,68.55,0.0
2017-04-29,dehumidifier,4632.93,23.16,27.51,20.84,68.62,7.73
2017-04-30,dehumidifier,4000.28,23.35,29.03,19.17,70.51,0.27
2017-05-01,dehumidifier,4824.8,26.51,29.83,24.52,75.62,0.0
2017-05-02,dehumidifier,4295.91,22.91,28.58,18.73,66.48,0.0
2017-05-03,dehumidifier,5861.86,22.61,27.86,17.19,77.49,0.0
2017-05-04,dehumidifier,6055.77,22.53,28.44,18.71,81.42,3.61
2017-05-05,dehumidifier,5649.24,21.86,26.37,17.25,88.61,0.0
2017-05-06,dehumidifier,4875.31,20.59,26.05,14.78,73.12,0.0
2017-05-07,dehumidifier,5112.46,21.11,25.49,17.22,80.5,0.0
2017-05-08,dehumidifier,5063.37,20.43,25.12,16.84,79.51,13.29
2017-05-09,dehumidifier,5450.58,19.78,23.62,15.81,75.03,1.11
2017-05-10,dehumidifier,6381.84,21.02,26.96,16.69,84.85,0.0
2017-05-11,dehumidifier,5677.0,21.93,28.67,18.45,71.83,0.0
2017-05-12,dehumidifier,4267.66,21.22,27.11,18.67,68.35,0.0
2017-05-13,dehumidifier,3412.08,19.62,24.89,16.66,64.2,0.0
2017-05-14,dehumidifier,4193.35,20.47,25.34,16.84,71.03,0.0
2016-03-01,ice cream,3739.69,11.56,16.04,7.37,80.69,0.0
2016-03-02,ice cream,4208.25,13.03,17.73,10.41,81.86,0.0
2016-03-03,ice cream,3386.63,11.4,16.08,6.76,82.67,0.0
2016-03-04,ice cream,4072.94,12.5,18.07,9.53,74.22,8.5
2016-03-05,ice cream,3072.19,15.06,19.51,10.74,74.16,0.0
2016-03-06,ice cream,2988.39,13.9,20.88,11.15,72.5,21.9
2016-03-07,ice cream,3405.68,15.87,19.83,11.18,75.11,1.1
2016-03-08,ice cream,3516.11,13.22,17.22,9.42,75.29,0.0
2016-03-09,ice cream,3717.14,14.41,19.28,10.18,68.75,0.0
2016-03-10,ice cream,3635.88,13.52,17.72,8.22,77.94,0.0
2016-03-11,ice cream,4722.14,17.69,22.17,13.41,68.46,0.0
2016-03-12,ice cream,3354.01,15.1,20.68,10.44,65.59,0.0
2016-03-13,ice cream,3815.68,15.41,21.85,10.44,58.02,0.0
2016-03-14,ice cream,4182.5,17.06,22.04,12.79,58.38,3.82
2016-03-15,ice cream,4303.41,16.93,20.94,13.06,62.8,0.0
2016-03-16,ice cream,3996.38,13.76,18.36,9.26,61.11,0.0
2016-03-17,ice cream,4629.39,16.63,21.99,13.28,54.15,0.0
2016-03-18,ice cream,4064.04,16.24,21.75,11.05,59.79,0.0
2016-03-19,ice cream,4075.77,13.53,18.76,9.91,53.52,0.0
2016-03-20,ice cream,3257.84,13.52,17.67,9.01,57.37,0.66
2016-03-21,ice cream,3879.43,14.37,18.78,12.26,68.81,5.85
2016-03-22,ice cream,4407.89,13.96,18.7,9.38,58.06,0.0
2016-03-23,ice cream,4740.4,16.28,22.37,12.86,55.32,0.0
2016-03-24,ice cream,4932.56,14.25,18.72,9.7,61.95,0.0
2016-03-25,ice cream,3574.89,10.92,14.38,8.09,64.79,0.0
2016-03-26,ice cream,2825.97,11.09,17.5,7.76,64.97,0.0
2016-03-27,ice cream,2552.05,11.4,16.24,7.36,75.45,0.0
2016-03-28,ice cream,3663.94,13.53,17.8,10.27,66.64,0.0
2016-03-29,ice cream,3640.92,10.65,17.0,6.16,81.24,0.0
2016-03-30,ice cream,4039.22,12.23,16.57,8.61,72.26,0.0
2016-03-31,ice cream,3783.13,12.66,17.38,9.43,71.79,29.4
2016-04-01,ice cream,3096.62,11.69,17.43,6.44,71.7,0.0
2016-04-02,ice cream,2868.48,12.58,18.26,8.93,77.06,0.92
2016-04-03,ice cream,3651.08,13.4,16.65,8.74,86.16,0.0
2016-04-04,ice cream,3729.14,13.59,19.79,9.72,80.62,9.96
2016-04-05,ice cream,2759.26,11.32,17.45,7.58,83.64,6.06
2016-04-06,ice cream,4264.52,13.55,19.33,8.77,82.91,0.0
2016-04-07,ice cream,3977.76,12.32,17.28,8.43,82.97,6.27
2016-04-08,ice cream,3661.2,13.75,18.05,9.32,81.61,0.0
2016-04-09,ice cream,3952.82,15.33,21.27,10.4,79.85,12.66
2016-04-10,ice cream,3510.4,14.72,19.38,9.8,62.47,0.0
2016-04-11,ice cream,3617.94,14.67,20.65,11.52,72.05,0.0
2016-04-12,ice cream,3457.41,15.68,21.31,11.04,63.81,0.0
2016-04-13,ice cream,4470.61,18.16,21.61,14.46,63.8,0.0
2016-04-14,ice cream,4746.12,20.64,25.53,15.95,63.17,0.0
2016-04-15,ice cream,5003.4,19.03,23.86,14.21,57.44,0.0
2016-04-16,ice cream,4869.87,19.81,24.18,15.29,57.09,0.0
2016-04-17,ice cream,3974.6,20.44,24.69,16.25,57.17,0.0
2016-04-18,ice cream,4184.13,20.94,26.1,16.14,60.25,0.0
2016-04-19,ice cream,5400.75,23.7,28.53,19.98,56.15,0.0
2016-04-20,ice cream,5215.87,23.92,28.69,19.13,58.9,0.0
2016-04-21,ice cream,5999.1,23.42,28.21,19.71,49.28,0.0
2016-04-22,ice cream,5276.15,23.43,29.08,19.16,56.5,0.0
2016-04-23,ice cream,4929.74,20.61,26.19,16.79,60.28,0.0
2016-04-24,ice cream,4799.83,26.1,29.63,21.54,63.87,0.0
2016-04-25,ice cream,4822.25,25.11,29.96,20.28,60.92,0.0
2016-04-26,ice cream,5211.74,23.96,27.8,21.51,65.7,15.35
2016-04-27,ice cream,6221.32,24.72,30.43,19.73,65.83,0.0
2016-04-28,ice cream,5677.1,23.67,28.8,20.19,63.51,0.0
2016-04-29,ice cream,5377.43,24.81,30.2,22.03,72.65,0.0
2016-04-30,ice cream,4595.81,24.16,28.71,19.7,70.42,18.28
2016-05-01,ice cream,5155.58,26.47,31.06,22.2,75.06,0.0
2016-05-02,ice cream,4185.53,23.5,28.62,20.24,81.52,10.74
2016-05-03,ice cream,5173.83,24.89,29.26,20.56,84.79,0.0
2016-05-04,ice cream,5268.67,21.97,26.84,17.96,73.01,0.0
2016-05-05,ice cream,4727.57,23.56,29.23,20.23,78.87,0.0
2016-05-06,ice cream,4445.96,20.2,25.25,15.48,85.39,10.27
2016-05-07,ice cream,5012.97,25.07,28.74,20.31,80.19,0.0
2016-05-08,ice cream,3887.73,20.28,25.57,16.16,78.53,1.76
2016-05-09,ice cream,4059.81,18.78,24.12,14.91,70.36,0.0
2016-05-10,ice cream,4369.03,21.13,25.69,16.05,74.12,0.0
2016-05-11,ice cream,4878.06,22.68,28.09,18.4,74.71,0.0
2016-05-12,ice cream,5113.43,19.49,23.89,14.23,80.22,0.0
2016-05-13,ice cream,5117.96,22.59,28.05,18.26,72.03,0.0
2016-05-14,ice cream,4469.56,22.1,26.78,18.45,62.28,0.0
2017-03-01,ice cream,3864.29,9.63,14.06,5.27,71.09,12.15
